Country_cat;Intercompany_cat;Overdue_cat;Agegroup_cat; Value ;Period_cat; target
Switzerland;N;No;0-30;27598541;Q4;-29.62154504927763
Switzerland;N;No;31-60;27438856;Q4;-156.51977856560887
Switzerland;N;No;91-120;3728327;Q4;-28.882172834773222
Switzerland;N;Yes;61-90;5576191;Q4;132.92310574278196
Switzerland;N;Yes;91-120;3994823;Q4;97.90608953077137
Switzerland;Y;No;61-90;7809689;Q4;34.670593526304316
Switzerland;Y;No;91-120;2781116;Q4;72.06639118772893
Switzerland;Y;Yes;31-60;25247109;Q4;107.20445685358698
Switzerland;Y;Yes;91-120;20869565;Q4;132.44630399512425
Switzerland;N;No;0-30;40891418;Q4;-49.78858540277767
Switzerland;N;No;120+;6566324;Q4;20.922708042275403
Switzerland;N;No;31-60;7875502;Q4;125.7990073167061
Switzerland;N;No;61-90;7686756;Q4;126.60522748785279
Switzerland;N;No;91-120;5329310;Q4;-193.82519409752265
Switzerland;N;Yes;0-30;4247115;Q4;105.88890584358576
Switzerland;N;Yes;120+;3359174;Q4;118.87864932298442
Switzerland;N;Yes;31-60;9193269;Q4;103.06211998884841
Switzerland;N;Yes;61-90;2434453;Q4;147.76554676103663
Switzerland;N;Yes;91-120;6295950;Q4;126.0785873812174
Switzerland;N;No;120+;2548355;Q4;61.40478749385679
Switzerland;N;No;61-90;12231305;Q4;52.04239703016761
Switzerland;N;Yes;0-30;-57643;Q4;-492.3808558264547
Switzerland;N;Yes;120+;5040435;Q4;120.38820322525994
Switzerland;N;Yes;31-60;2251685;Q4;155.8658483977575
Switzerland;Y;No;0-30;71891995;Q4;-61.57446546727766
Switzerland;Y;No;31-60;26211771;Q4;159.00712008880083
Switzerland;Y;No;61-90;6572938;Q4;203.85961794345351
Switzerland;Y;Yes;0-30;447670;Q4;111.70569482432133
Switzerland;Y;Yes;120+;19674134;Q4;79.80146144308924
Switzerland;Y;Yes;31-60;3134403;Q4;103.50790898757255
Switzerland;Y;Yes;61-90;10992076;Q4;109.07317118228292
Switzerland;Y;Yes;91-120;5007403;Q4;134.95741724941428
Switzerland;Y;No;0-30;258632925;Q4;-187.73386755910107
Switzerland;Y;No;120+;12706824;Q4;-43.7259987784976
Switzerland;Y;No;31-60;107680467;Q4;192.872441441361
Switzerland;Y;Yes;0-30;-12312630;Q4;-532.0397914533291
Switzerland;Y;Yes;120+;81025950;Q4;109.70109709720619
Switzerland;Y;Yes;61-90;45178225;Q4;132.3660181789976
Iberia;N;No;0-30;166238223;Q4;120.35118471036483
Iberia;N;No;120+;9295263;Q4;-60.71403830631187
Iberia;N;No;31-60;97976874;Q4;-123.5727436656238
Iberia;N;No;61-90;15309489;Q4;-113.1293868586862
Iberia;N;No;91-120;8189034;Q4;106.84261202422624
Iberia;N;Yes;0-30;8719330;Q4;97.53057336671147
Iberia;N;Yes;120+;16075997;Q4;113.16112243463195
Iberia;N;Yes;31-60;14076561;Q4;140.52809240175077
Iberia;N;Yes;61-90;11301891;Q4;111.45270519625768
Iberia;N;Yes;91-120;12329516;Q4;112.82386150951544
France;N;No;0-30;80867445;Q4;30.013059759543566
France;N;No;120+;5915955;Q4;-123.14394480242602
France;N;No;31-60;37014469;Q4;54.724560302378336
France;N;No;61-90;6418185;Q4;-31.207591945682434
France;N;No;91-120;1484773;Q4;252.72190659632483
France;N;Yes;0-30;8069564;Q4;114.34607486990747
France;N;Yes;120+;14205151;Q4;86.95571733235872
France;N;Yes;31-60;5005617;Q4;68.77203884392155
France;N;Yes;61-90;7322242;Q4;74.00597429556372
France;N;Yes;91-120;2384287;Q4;132.37775532118536
France;N;No;0-30;164335437;Q4;74.03453246139591
France;N;No;120+;9186905;Q4;-51.227967503300285
France;N;No;31-60;90924843;Q4;10.60821714654515
France;N;No;61-90;6240102;Q4;19.256102726199288
France;N;Yes;0-30;8743913;Q4;140.2665254219788
France;N;Yes;120+;11515142;Q4;105.29865226812646
France;N;Yes;31-60;10306347;Q4;103.71909535018355
France;N;Yes;61-90;13062007;Q4;124.33411298264754
France;N;Yes;91-120;8804918;Q4;141.10374905578266
Italy;N;No;0-30;68666456;Q4;116.09624369759105
Italy;N;No;120+;5266250;Q4;64.63037444500692
Italy;N;No;31-60;55216265;Q4;52.812648743323265
Italy;N;No;61-90;14256549;Q4;-26.26478423615121
Italy;N;No;91-120;5616304;Q4;64.89191997970447
Italy;N;Yes;0-30;-5924687;Q4;-526.3623920998365
Italy;N;Yes;120+;26074705;Q4;96.57082655782074
Italy;N;Yes;31-60;4702480;Q4;119.79047651189332
Italy;N;Yes;61-90;17439527;Q4;117.6354799754628
Italy;N;Yes;91-120;11606229;Q4;101.5929290401513
Iberia;N;No;0-30;78148274;Q4;78.73687877785257
Iberia;N;No;31-60;44816804;Q4;-36.91403179010401
Iberia;N;Yes;31-60;6651373;Q4;147.71302633445384
Iberia;N;Yes;91-120;10458140;Q4;133.16082508435943
Iberia;Y;No;0-30;64410180;Q4;-60.41111030686408
Iberia;Y;No;31-60;48799892;Q4;15.715973223808648
Iberia;Y;No;61-90;5482718;Q4;112.0901159950228
Iberia;Y;Yes;0-30;1572997;Q4;90.35659496770914
Iberia;Y;Yes;120+;6192639;Q4;113.04249174970774
Iberia;Y;Yes;31-60;3207892;Q4;98.5875060029717
Iberia;Y;Yes;61-90;3274875;Q4;95.67661842697262
Iberia;Y;Yes;91-120;5186704;Q4;125.44244668770487
France;Y;No;0-30;51739642;Q4;-110.20275198333913
France;Y;No;31-60;32434256;Q4;102.6471610379552
France;Y;No;61-90;6452833;Q4;117.85349587460924
France;Y;No;91-120;1607676;Q4;-41.56606350926196
France;Y;Yes;0-30;119205;Q4;63.65952181312569
France;Y;Yes;120+;3159872;Q4;99.28741442795418
France;Y;Yes;61-90;1061183;Q4;92.60635030803422
France;Y;Yes;91-120;10006317;Q4;136.87360532637155
France;Y;No;0-30;61705358;Q4;-13.670955221441044
France;Y;No;31-60;10223102;Q4;233.90269054841087
France;Y;No;61-90;5975417;Q4;-19.668783346435127
France;Y;No;91-120;8478465;Q4;-145.186694879991
France;Y;Yes;0-30;6953944;Q4;115.42992568047246
France;Y;Yes;120+;16137891;Q4;92.05708562727943
France;Y;Yes;31-60;8309518;Q4;112.2043612770955
France;Y;Yes;61-90;5412155;Q4;114.82327012417487
France;Y;Yes;91-120;8511589;Q4;127.18526098970291
Italy;Y;No;0-30;44819476;Q4;75.87582769567274
Italy;Y;No;31-60;36780465;Q4;81.97584720015492
Italy;Y;No;61-90;6405777;Q4;-140.0780986634525
Italy;Y;Yes;0-30;2484283;Q4;120.7195350846344
Italy;Y;Yes;120+;13343351;Q4;118.9078165649459
Italy;Y;Yes;31-60;9530219;Q4;113.39536949589319
Italy;Y;Yes;61-90;-6238266;Q4;-506.3146108292561
Italy;Y;Yes;91-120;499963;Q4;131.12958140545078
Iberia;Y;Yes;120+;9630268;Q4;124.02912669155604
Iberia;Y;Yes;91-120;7909441;Q4;126.03822819602331
Nordics;N;No;0-30;13203192;Q4;-113.49212753070597
Nordics;N;No;120+;1997131;Q4;-42.29107558089904
Nordics;N;No;31-60;13274081;Q4;6.199245205135149
Nordics;N;No;61-90;6367777;Q4;-39.419734564226914
Nordics;N;Yes;0-30;5389441;Q4;117.8886018438456
Nordics;N;Yes;120+;2753598;Q4;148.31581113835512
Nordics;N;Yes;31-60;10938850;Q4;136.143797312127
Nordics;N;Yes;61-90;10015346;Q4;98.26996709927245
Nordics;N;Yes;91-120;6875685;Q4;104.70252926238598
Cyprus;N;No;0-30;22008094;Q4;-53.41054513714832
Cyprus;N;No;120+;988103;Q4;22.19535466416088
Cyprus;N;No;31-60;16274392;Q4;-16.462597147264454
Cyprus;N;No;61-90;9534313;Q4;-24.95640775981017
Cyprus;N;No;91-120;4570155;Q4;206.75500647463744
Cyprus;N;Yes;0-30;-139100;Q4;-509.47988386468575
Cyprus;N;Yes;120+;28209541;Q4;123.89490056742855
Cyprus;N;Yes;31-60;18922448;Q4;130.25164291890272
Cyprus;N;Yes;61-90;15839267;Q4;95.12833941858177
Cyprus;N;Yes;91-120;9830453;Q4;133.5847659388604
Nordics;N;No;0-30;38874002;Q4;-16.87404095744411
Nordics;N;No;120+;6218625;Q4;21.847589945823266
Nordics;N;No;31-60;8001580;Q4;-42.34784947010959
Nordics;N;No;61-90;109747;Q4;-56.56382934615628
Nordics;N;No;91-120;4001936;Q4;29.018354299735602
