nTrades,ROI,PeakPerformance,MeanReturn,MaxLoss,MaxGain,AvgGain,AvgLoss,MaxDrawdown,SharpeRatio,PosReturnPercent,Informed
25,0.23,0.23,0.0019,-0.03,0.1,0.02,-0.01,0.07,2.41,0.64,0.0
19,0.15,0.15,0.0012,-0.03,0.04,0.02,-0.01,0.03,2.69,0.53,0.0
19,-0.01,0.01,-0.0001,-0.03,0.06,0.01,-0.02,0.09,-0.2,0.58,0.0
22,-0.21,0,-0.0017,-0.07,0.02,0.01,-0.02,0.22,-3.12,0.36,0.0
22,-0.2,0,-0.0016,-0.07,0.02,0.01,-0.02,0.21,-2.85,0.41,0.0
22,-0.29,0,-0.0024,-0.07,0.02,0.01,-0.02,0.3,-3.85,0.23,0.0
22,0.03,0.04,0.0003,-0.03,0.03,0.01,-0.01,0.07,0.64,0.64,0.0
22,0.18,0.18,0.0015,-0.03,0.05,0.01,-0.01,0.04,3.23,0.86,0.0
25,-0.04,0.03,-0.0003,-0.06,0.2,0.03,-0.02,0.21,-0.22,0.32,0.0
25,-0,0.1,-0,-0.11,0.28,0.04,-0.02,0.19,-0.02,0.36,0.0
25,0.38,0.38,0.0032,-0.05,0.34,0.04,-0.01,0.06,1.59,0.56,0.0
25,0.19,0.19,0.0016,-0.05,0.28,0.03,-0.02,0.14,0.96,0.48,0.0
20,0.15,0.17,0.0013,-0.04,0.05,0.02,-0.01,0.04,2.38,0.7,0.0
20,0.29,0.29,0.0024,-0.03,0.08,0.02,-0.01,0.03,3.46,0.75,0.0
19,-0.01,0.01,-0.0001,-0.04,0.03,0.01,-0.02,0.12,-0.26,0.58,0.0
19,-0.09,0.02,-0.0007,-0.06,0.02,0.01,-0.02,0.13,-1.48,0.53,0.0
27,0.24,0.24,0.002,-0.02,0.11,0.02,-0.01,0.04,2.54,0.63,0.0
27,0.04,0.06,0.0003,-0.04,0.03,0.01,-0.01,0.04,0.87,0.52,0.0
27,0.12,0.14,0.001,-0.02,0.06,0.02,-0.01,0.04,1.9,0.56,0.0
24,-0.03,0.09,-0.0002,-0.1,0.06,0.02,-0.02,0.18,-0.22,0.42,0.0
24,0.08,0.09,0.0006,-0.06,0.08,0.03,-0.02,0.14,0.77,0.42,0.0
21,-0.02,0.1,-0.0001,-0.06,0.02,0.02,-0.01,0.12,-0.27,0.43,0.0
21,-0.14,0.03,-0.0011,-0.07,0.03,0.01,-0.02,0.18,-1.78,0.43,0.0
26,-0.23,0.06,-0.0019,-0.17,0.04,0.02,-0.03,0.32,-1.69,0.42,0.0
26,-0.23,0.15,-0.0019,-0.25,0.06,0.02,-0.04,0.38,-1.17,0.54,0.0
12,0.11,0.11,0.0009,-0.07,0.12,0.05,-0.03,0.12,0.89,0.5,0.0
12,0.05,0.05,0.0004,-0.07,0.05,0.02,-0.04,0.07,0.57,0.75,0.0
18,0,0.03,0,-0.03,0.03,0.01,-0.01,0.06,0.04,0.44,0.0
18,0.15,0.15,0.0012,-0.01,0.05,0.01,-0,0.02,3.16,0.67,0.0
18,0.09,0.09,0.0007,-0.05,0.05,0.01,-0.02,0.05,1.35,0.72,0.0
25,0.03,0.08,0.0002,-0.04,0.04,0.01,-0.02,0.1,0.41,0.64,0.0
19,0.05,0.05,0.0004,-0.02,0.04,0.02,-0.01,0.04,1.05,0.42,0.0
19,0.13,0.14,0.0011,-0.02,0.09,0.02,-0.01,0.04,1.72,0.53,0.0
17,-0.02,0.06,-0.0001,-0.06,0.07,0.02,-0.02,0.09,-0.22,0.59,0.0
17,-0.03,0.01,-0.0003,-0.05,0.04,0.01,-0.02,0.06,-0.54,0.53,0.0
15,-0.22,0,-0.0018,-0.13,0.03,0.01,-0.02,0.22,-2.23,0.27,0.0
15,-0.07,0,-0.0005,-0.03,0.03,0.01,-0.02,0.07,-1.46,0.47,0.0
23,0.42,0.42,0.0035,-0.03,0.31,0.03,-0.01,0.03,1.97,0.7,0.0
23,0.26,0.27,0.0022,-0.06,0.3,0.04,-0.01,0.1,1.22,0.52,0.0
20,0.06,0.17,0.0005,-0.07,0.06,0.02,-0.02,0.12,0.68,0.6,0.0
25,0.17,0.17,0.0014,-0.07,0.15,0.03,-0.02,0.15,1.16,0.48,0.0
25,0.14,0.14,0.0011,-0.05,0.14,0.03,-0.02,0.12,1.11,0.48,0.0
21,-0.1,0.01,-0.0008,-0.05,0.03,0.01,-0.01,0.14,-1.88,0.33,0.0
21,-0.1,0.05,-0.0008,-0.06,0.02,0.01,-0.02,0.16,-1.65,0.48,0.0
23,-0.04,0.04,-0.0004,-0.07,0.03,0.01,-0.02,0.09,-0.63,0.61,0.0
23,0.13,0.13,0.0011,-0.07,0.06,0.02,-0.02,0.07,1.65,0.74,0.0
25,0.02,0.03,0.0001,-0.03,0.03,0.01,-0.01,0.05,0.32,0.48,0.0
25,-0.03,0.05,-0.0003,-0.03,0.05,0.01,-0.02,0.08,-0.43,0.48,0.0
29,-0.01,0.08,-0.0001,-0.06,0.06,0.02,-0.02,0.11,-0.14,0.55,0.0
29,-0.08,0.02,-0.0007,-0.04,0.07,0.01,-0.02,0.16,-1.02,0.45,0.0
29,0.03,0.03,0.0003,-0.05,0.05,0.02,-0.02,0.1,0.39,0.55,0.0
23,-0.08,0,-0.0007,-0.08,0.03,0.01,-0.02,0.09,-1.05,0.52,0.0
23,-0.1,0.04,-0.0009,-0.06,0.02,0.01,-0.02,0.14,-1.7,0.48,0.0
21,-0.41,0.05,-0.0034,-0.28,0.03,0.01,-0.04,0.46,-1.99,0.38,0.0
21,-0.19,0.06,-0.0016,-0.18,0.05,0.02,-0.03,0.25,-1.37,0.38,0.0
23,-0.02,0.03,-0.0001,-0.07,0.03,0.01,-0.01,0.09,-0.25,0.48,0.0
23,0.02,0.03,0.0002,-0.06,0.04,0.01,-0.01,0.09,0.39,0.52,0.0
23,-0.04,0.01,-0.0004,-0.05,0.05,0.02,-0.02,0.14,-0.64,0.43,0.0
21,0.04,0.07,0.0003,-0.03,0.03,0.01,-0.01,0.07,0.7,0.48,0.0
21,-0.05,0.01,-0.0004,-0.04,0.05,0.01,-0.01,0.11,-0.93,0.43,0.0
27,0.1,0.14,0.0008,-0.02,0.03,0.01,-0.01,0.04,1.72,0.56,0.0
27,0.01,0.03,0.0001,-0.05,0.03,0.01,-0.02,0.09,0.15,0.59,0.0
18,-0.22,0.14,-0.0018,-0.33,0.06,0.02,-0.05,0.36,-0.96,0.56,0.0
18,-0.17,0.16,-0.0014,-0.31,0.06,0.01,-0.07,0.33,-0.75,0.72,0.0
18,-0.24,0.16,-0.002,-0.36,0.04,0.01,-0.08,0.41,-0.97,0.72,0.0
16,-0.09,0,-0.0007,-0.03,0.03,0.01,-0.02,0.09,-1.82,0.38,0.0
16,-0.13,0,-0.0011,-0.05,0.03,0.01,-0.02,0.13,-2.48,0.31,0.0
