"sex","age","race","priors.count","charge.degree","days","score"
2,69,6,0,6,1,0
2,69,6,0,6,1,0
2,34,1,0,6,1,0
2,24,1,4,6,1,0
2,24,1,4,6,1,0
2,24,1,4,6,1,0
2,24,1,4,6,1,0
2,24,1,4,6,1,0
2,23,1,1,6,1,0
2,43,6,2,9,76,0
2,44,6,0,10,0,0
2,43,6,3,6,1,0
2,43,6,3,6,1,0
2,43,6,3,6,1,0
1,39,3,0,10,1,0
2,20,3,0,6,1,0
2,20,3,0,6,1,0
2,20,3,0,6,1,0
2,21,3,1,5,308,0
2,27,3,0,6,1,0
1,37,3,0,10,0,0
2,22,3,0,10,0,0
2,41,1,0,6,1,0
1,47,3,1,6,490,0
1,47,3,1,6,490,0
2,31,1,7,6,71,0
2,31,1,7,6,71,0
2,37,4,0,10,0,0
2,25,1,3,6,1,0
2,25,1,3,6,1,0
2,31,3,5,6,1,0
2,31,3,5,6,1,0
2,31,3,5,6,1,0
2,21,1,1,6,1,0
2,21,1,1,6,1,0
2,21,1,1,6,1,0
2,21,1,1,6,1,0
2,21,1,1,6,1,0
2,21,1,1,6,1,0
2,27,3,0,10,0,0
1,21,3,0,6,2,0
2,24,4,1,6,1,0
2,42,3,1,4,133,0
2,43,3,1,11,1,0
2,32,6,0,10,1,0
1,54,1,0,6,1,0
2,27,1,8,6,1,0
2,27,1,8,6,1,0
2,27,1,8,6,1,0
2,27,1,8,6,1,0
1,36,3,3,6,95,0
1,36,3,3,6,95,0
2,33,1,0,6,1,0
2,33,1,0,6,1,0
2,30,3,9,6,0,0
2,30,3,9,6,0,0
2,32,1,4,6,1,0
2,32,1,4,6,1,0
2,63,1,0,10,1,0
2,27,4,2,6,1,0
2,55,3,0,6,1,0
2,32,1,15,6,0,0
2,38,1,5,6,1,0
2,38,1,5,6,1,0
2,38,1,5,6,1,0
2,49,6,7,6,0,0
2,49,6,7,6,0,0
2,49,6,7,6,0,0
2,26,3,6,11,382,0
2,26,3,6,11,382,0
2,26,3,6,11,382,0
2,24,3,1,10,0,0
2,24,3,1,10,0,0
2,34,1,21,5,0,0
2,34,1,21,5,0,0
2,34,1,21,5,0,0
2,34,1,21,5,0,0
2,29,3,0,10,1,0
1,21,1,2,5,1,0
1,21,1,2,5,1,0
1,21,1,2,5,1,0
1,21,1,2,5,1,0
2,51,1,2,10,1,0
2,29,3,2,10,1,0
2,29,3,2,10,1,0
1,51,1,7,6,1,0
1,51,1,7,6,1,0
2,36,1,22,10,1,0
2,36,1,22,10,1,0
2,29,6,0,10,2,0
2,25,3,9,10,1,0
2,35,1,13,6,1,0
2,49,3,0,10,0,0
2,34,1,4,11,59,0
2,29,1,0,6,1,0
2,29,3,1,6,24,0
2,29,3,1,6,24,0
1,28,6,0,6,1,0
2,51,3,0,6,1,0
2,25,3,0,6,0,0
2,33,3,1,6,0,0
2,33,3,1,6,0,0
1,63,4,1,4,219,0
2,24,1,2,6,1,0
2,24,1,2,6,1,0
2,24,1,2,6,1,0
2,32,3,3,6,1,0
2,49,1,4,10,1,0
1,31,4,0,10,1,0
2,35,1,5,6,1,0
2,33,1,2,5,1,0
2,27,1,15,6,1,0
2,27,1,15,6,1,0
2,27,1,15,6,1,0
2,38,3,4,10,1,0
2,22,1,1,6,1,0
1,34,3,0,10,0,0
2,22,1,2,6,114,0
2,22,1,2,6,114,0
2,22,1,2,6,114,0
2,29,1,4,6,1,0
2,29,1,4,6,1,0
2,29,1,4,6,1,0
2,29,1,4,6,1,0
2,62,4,0,11,1,0
2,33,6,0,10,1,0
1,56,1,0,10,1,0
2,45,4,6,6,1,0
2,45,4,6,6,1,0
2,22,4,1,6,1,0
1,31,3,2,6,1,0
2,34,1,0,6,0,0
2,39,1,1,10,1,0
1,24,4,1,11,325,0
2,40,1,2,6,15,0
2,51,1,1,6,78,0
2,51,1,1,6,78,0
2,22,1,1,10,1,0
2,22,1,1,10,1,0
2,22,1,1,10,1,0
2,22,3,0,6,1,0
2,22,3,0,6,1,0
2,22,3,0,6,1,0
2,22,3,0,6,1,0
2,22,3,0,6,1,0
1,26,1,1,5,1,0
1,59,1,2,6,67,0
2,32,3,3,10,711,0
2,32,1,0,6,1,0
2,41,1,1,11,5185,0
2,50,3,0,10,1,0
2,30,1,8,10,1,0
2,30,1,8,10,1,0
2,30,1,8,10,1,0
2,66,1,0,12,1372,0
2,50,6,0,6,1,0
2,50,6,0,6,1,0
2,25,1,14,5,1,0
2,25,1,14,5,1,0
2,25,1,14,5,1,0
2,25,1,14,5,1,0
2,25,1,14,5,1,0
2,22,1,2,6,0,0
2,22,1,2,6,0,0
2,22,1,2,6,0,0
1,35,1,1,11,1,0
2,26,3,7,6,1,0
2,26,3,7,6,1,0
2,26,3,7,6,1,0
2,25,3,9,6,1,0
2,25,3,9,6,1,0
2,34,1,3,10,21,0
2,39,3,2,6,3,0
2,39,3,2,6,3,0
2,39,3,2,6,3,0
2,39,3,2,6,3,0
2,39,3,2,6,3,0
2,39,3,2,6,3,0
2,39,3,2,6,3,0
2,39,3,2,6,3,0
2,66,3,3,5,64,0
1,54,3,0,10,1,0
1,44,4,0,10,2,0
2,19,1,1,11,10,0
2,24,1,1,5,137,0
2,24,1,1,5,137,0
2,30,1,1,6,1,0
1,39,3,0,6,1,0
1,32,1,8,10,1,0
2,30,3,0,6,1,0
2,30,3,0,6,1,0
2,30,3,0,6,1,0
1,39,3,1,6,1,0
1,39,3,1,6,1,0
1,39,3,1,6,1,0
1,39,3,1,6,1,0
1,39,3,1,6,1,0
2,59,1,14,6,265,0
1,24,6,0,5,1,0
2,43,3,1,6,30,0
2,21,1,2,6,1,0
2,21,1,2,6,1,0
2,21,1,2,6,1,0
2,21,1,2,6,1,0
2,21,1,2,6,1,0
2,21,1,2,6,1,0
1,21,1,0,10,1,0
2,21,1,3,6,1,0
2,21,1,3,6,1,0
2,21,1,3,6,1,0
2,21,1,3,6,1,0
2,21,1,3,6,1,0
2,20,1,0,6,0,0
2,20,1,0,6,0,0
2,20,1,0,6,0,0
2,20,1,0,6,0,0
2,20,1,0,6,0,0
2,20,1,0,6,0,0
2,38,3,5,10,1,0
2,38,3,5,10,1,0
2,27,1,3,6,2,0
2,27,1,3,6,2,0
2,30,1,3,6,0,0
2,37,1,3,6,0,0
2,37,1,3,6,0,0
2,42,3,1,6,1,0
2,42,3,1,6,1,0
2,42,3,1,6,1,0
2,41,1,10,6,0,0
2,41,1,10,6,0,0
2,22,1,0,6,1,0
2,22,1,0,6,1,0
2,33,1,28,6,1,0
2,33,1,28,6,1,0
2,33,1,28,6,1,0
2,44,3,0,11,3,0
2,26,1,9,6,0,0
2,26,1,9,6,0,0
1,30,6,1,6,1,0
1,30,6,1,6,1,0
1,30,6,1,6,1,0
2,31,3,13,6,0,0
2,27,1,3,6,1,0
1,31,3,1,6,1,0
1,31,3,1,6,1,0
2,47,4,2,6,1,0
2,56,1,8,6,79,0
2,56,1,8,6,79,0
2,33,2,2,12,132,0
2,33,2,2,12,132,0
2,33,2,2,12,132,0
