DYRK1A, ITSN1, BDNF, NR1, NR2A, pAKT, pBRAF, pCAMKII, pCREB, pELK, pERK, pJNK, PKCA, pMEK, pNR1, pNR2A, pNR2B, pPKCAB, pRSK, AKT, BRAF, CAMKII, CREB, ELK, ERK, GSK3B, JNK, MEK, TRKA, RSK, APP, Bcatenin, SOD1, MTOR, P38, pMTOR, DSCR1, AMPKA, NR2B, pNUMB, RAPTOR, TIAM1, pP70S6, NUMB, P70S6, pGSK3B, pPKCG, CDK5, S6, ADARB1, AcetylH3K9, RRP1, BAX, ARC, ERBB4, nNOS, Tau, GFAP, GluR3, GluR4, IL1B, P3525, pCASP9, PSD95, SNCA, Ubiquitin, pGSK3B_Tyr216, SHH, BAD, BCL2, pS6, pCFOS, SYP, H3AcK18, EGR1, H3MeK4, CaNA, Class
0.591618368, 0.814979938, 0.414979938, 2.706107891, 5.256263932, 0.260989746, 0.18724922, 4.163798484, 0.265893892, 1.665804726, 0.914578689, 0.382612572, 0.429068212, 0.294605439, 0.943825234, 1.171466786, 1.892643781, 2.590905038, 0.475078021, 0.777084262, 0.500222916, 0.36148016, 0.191618368, 2.003566652, 3.478555506, 1.419170753, 0.26232724, 0.320285332, 0.855461436, 0.180918413, 0.455639768, 2.708247882, 0.387873384, 0.507177887, 0.411591618, 0.799108337, 0.578956754, 0.47677218, 0.62238074, 0.416228266, 0.355060187, 0.499687918, 0.331341953, 0.190661853, 0.904981949, 0.169434416, 1.661612515, 0.299687124, 0.428592058, 2.264259928, 0.31566787, 0.141371841, 0.17179302, 0.121155235, 0.156341757, 0.169241877, 0.194368231, 0.115090253, 0.211744886, 0.128134777, 0.392057762, 0.316197353, 1.598026474, 1.903537906, 0.127990373, 1.105222623, 0.714705174, 0.216269555, 0, 0.107677497, 0.121155235, 0.09631769, 0.400048135, 0.154416366, 0.135306859, 0, 1.399614922, 0
0.58980671, 0.840444931, 0.42432531, 2.803701678, 5.534372721, 0.269420131, 0.192833698, 4.284555069, 0.275984683, 1.84928884, 0.956236324, 0.395058352, 0.429613421, 0.351932896, 0.975291758, 1.219274252, 1.951951131, 2.641958425, 0.486779723, 0.806345733, 0.50948213, 0.385940919, 0.198668855, 2.106582786, 3.580324581, 1.495076586, 0.26622903, 0.331965718, 0.883479212, 0.182804522, 0.473103574, 2.804248724, 0.411834427, 0.534372721, 0.418946025, 0.866794311, 0.634208607, 0.514770241, 0.640134938, 0.442469001, 0.377279358, 0.523705325, 0.361779723, 0.190930672, 0.952909258, 0.16971077, 1.678407054, 0.302553171, 0.414417906, 2.305363112, 0.300421491, 0.150961678, 0.177074754, 0.125333075, 0.156097088, 0.174991522, 0.18458408, 0.121602636, 0.197858631, 0.127125624, 0.394554527, 0.323191706, 1.597112543, 1.987209922, 0.145874715, 1.093115644, 0.730294075, 0.220628846, 0, 0.10876411, 0.125333075, 0.112300761, 0.398866334, 0.163800203, 0.139479676, 0, 1.41097815, 0
0.598901602, 0.88604119, 0.444759725, 2.91826087, 5.71771167, 0.290434783, 0.197162471, 4.497665904, 0.28228833, 1.998901602, 0.974645309, 0.405583524, 0.450800915, 0.332723112, 1.044118993, 1.291258581, 1.980778032, 2.747459954, 0.51597254, 0.847688787, 0.528237986, 0.390938215, 0.202105263, 2.185263158, 3.630938215, 1.510480549, 0.280366133, 0.342791762, 0.90416476, 0.184988558, 0.482562929, 2.854828375, 0.415011442, 0.550389016, 0.425354691, 0.909748284, 0.690709382, 0.543707094, 0.665812357, 0.46590389, 0.402105263, 0.560091533, 0.388649886, 0.184096922, 0.926147705, 0.178248155, 1.578563803, 0.291045815, 0.361648795, 2.347212552, 0.287703662, 0.15387829, 0.183911247, 0.118600009, 0.15503876, 0.165715081, 0.180476257, 0.117950146, 0.183400641, 0.12816228, 0.377941791, 0.304089495, 1.521700784, 1.851042102, 0.141809404, 0.998700274, 0.690386669, 0.23060855, 0, 0.108712807, 0.118600009, 0.10936267, 0.37873091, 0.154110384, 0.143155549, 0, 1.332265701, 0
0.544843569, 0.726998841, 0.390845886, 2.521089224, 4.967323291, 0.275550406, 0.190961761, 4.576825029, 0.240208575, 1.591425261, 0.794090382, 0.369524913, 0.402085747, 0.302780997, 0.864774044, 1.030475087, 1.738702202, 2.353765933, 0.524449594, 0.70764774, 0.472190035, 0.376245655, 0.188876014, 1.47612978, 3.008574739, 1.434298957, 0.264426419, 0.305446118, 0.806373117, 0.186558517, 0.433371958, 2.526535342, 0.40023175, 0.509501738, 0.442757822, 0.811819235, 0.587949015, 0.453881808, 0.602433372, 0.417149479, 0.361529548, 0.483893395, 0.445886443, 0.182766469, 0.814199014, 0.16190416, 1.950056897, 0.297698824, 0.389429764, 2.000885068, 0.331837148, 0.142938425, 0.186117082, 0.117713997, 0.158111013, 0.159122519, 0.17695031, 0.115374889, 0.206094323, 0.121633582, 0.417941586, 0.301997724, 1.516816285, 1.951827032, 0.12251865, 1.078644582, 0.716019724, 0.210709318, 0, 0.109495511, 0.117713997, 0.099506891, 0.385510178, 0.177961816, 0.141926919, 0, 1.394424074, 0
0.512785231, 0.730650155, 0.389175553, 2.514046554, 5.070519436, 0.271872492, 0.188625158, 4.548216948, 0.238390093, 1.689829148, 0.800825593, 0.370599702, 0.404540764, 0.312349501, 0.864350419, 1.064786148, 1.748538012, 2.38871689, 0.514734549, 0.705309024, 0.457975003, 0.372893017, 0.195734434, 1.476206857, 3.001719986, 1.417612659, 0.260291251, 0.306157551, 0.805641555, 0.16752666, 0.439743149, 2.543400986, 0.384015595, 0.520353171, 0.422313955, 0.809998853, 0.623437679, 0.483201468, 0.599816535, 0.421167297, 0.373695677, 0.500630662, 0.447196422, 0.181668357, 0.842101927, 0.163666329, 2.005070994, 0.3019143, 0.368027383, 2.022946247, 0.313197262, 0.155806288, 0.190542596, 0.124239351, 0.151052231, 0.163159229, 0.173744929, 0.125633874, 0.192761156, 0.124936613, 0.418990872, 0.326064909, 1.527256592, 1.942254057, 0.137043611, 1.04773073, 0.719574037, 0.222806795, 0, 0.114984787, 0.124239351, 0.114604462, 0.385775862, 0.184140467, 0.154982252, 0, 1.366823022, 0
0.5421644, 0.78048492, 0.414547605, 2.672383205, 5.691898285, 0.283500887, 0.198698995, 4.806978119, 0.256061502, 1.880189237, 0.843287995, 0.389000591, 0.424364281, 0.334476641, 0.953873448, 1.127971614, 1.870963927, 2.604021289, 0.564754583, 0.774807806, 0.478888232, 0.391247782, 0.208988764, 1.596806623, 3.242578356, 1.452276759, 0.284092253, 0.325487877, 0.847191011, 0.179302188, 0.460910704, 2.692726198, 0.404730928, 0.557776464, 0.446717918, 0.879479598, 0.71011236, 0.518391484, 0.649319929, 0.462093436, 0.408752218, 0.542400946, 0.482791248, 0.176395631, 0.842536408, 0.166686893, 1.989199029, 0.294053398, 0.340109223, 2.122876214, 0.303944175, 0.165412621, 0.189259709, 0.117050971, 0.141504854, 0.162196602, 0.166868932, 0.11875, 0.181432039, 0.122026699, 0.416868932, 0.313956311, 1.436650485, 1.886165049, 0.134890777, 1.075546117, 0.70151699, 0.235315534, 0, 0.115716019, 0.117050971, 0.111468447, 0.367354369, 0.174514563, 0.153216019, 0, 1.32032767, 0
0.414108951, 0.606138518, 0.349670577, 2.107665113, 4.225132573, 0.281696931, 0.196207617, 4.127109111, 0.224168408, 1.527719749, 0.637473887, 0.356901816, 0.379720392, 0.306122449, 0.744978306, 0.877711715, 1.5235417, 2.548770689, 0.541057368, 0.653704001, 0.443515989, 0.372328459, 0.195243452, 1.170817933, 2.477583159, 1.272055279, 0.259521131, 0.288446087, 0.739193315, 0.175960148, 0.395629118, 2.196368311, 0.363972361, 0.488028282, 0.42134019, 0.768600354, 0.606299213, 0.379720392, 0.51856018, 0.39225454, 0.388879961, 0.450265145, 0.598103808, 0.1629552, 0.751986726, 0.164439787, 2.169068204, 0.292026897, 0.347043926, 1.736616889, 0.338398393, 0.147061392, 0.183390097, 0.1074142, 0.149943236, 0.143131604, 0.166361017, 0.114662475, 0.189765086, 0.112129945, 0.410182517, 0.274997817, 1.437865689, 1.889267313, 0.116933019, 1.014234565, 0.710330975, 0.221902017, 0, 0.098943324, 0.1074142, 0.099030652, 0.381189416, 0.190027072, 0.147236049, 0, 1.387826391, 0
0.444972938, 0.627357717, 0.361981302, 2.217319993, 4.41249795, 0.296211251, 0.199278334, 4.27554535, 0.220272265, 1.684598983, 0.70608496, 0.375266525, 0.394948335, 0.321797605, 0.777595539, 0.925209119, 1.609808102, 2.82532393, 0.567820239, 0.67869444, 0.444152862, 0.397080531, 0.204854847, 1.24815483, 2.441528621, 1.303099885, 0.269640807, 0.308348368, 0.749056913, 0.174840085, 0.427095293, 2.248974906, 0.38543546, 0.515499426, 0.443660817, 0.794653108, 0.659012629, 0.414630146, 0.601443333, 0.414630146, 0.401344924, 0.482532393, 0.659340659, 0.162300538, 0.739568223, 0.159569929, 2.127911938, 0.291236454, 0.332110248, 1.680604147, 0.305060159, 0.161703217, 0.181329465, 0.115453537, 0.145234235, 0.142503627, 0.167761754, 0.127911938, 0.195665159, 0.108712347, 0.383479819, 0.296356344, 1.396194215, 1.860056319, 0.138151719, 1.035839235, 0.712603464, 0.214694087, 0, 0.108029695, 0.115453537, 0.104104446, 0.374690673, 0.18781466, 0.151207441, 0, 1.357283045, 0
0.462777684, 0.683567916, 0.385111073, 2.369340343, 4.97965067, 0.301509242, 0.204171613, 4.481939969, 0.238256741, 1.894522639, 0.715448533, 0.410547736, 0.426318467, 0.335763948, 0.846023402, 0.995590978, 1.679667628, 3.061387146, 0.606579617, 0.722570799, 0.451585552, 0.413769713, 0.223842632, 1.34763439, 2.701204002, 1.353400034, 0.287434289, 0.328980838, 0.795997965, 0.185857216, 0.449381041, 2.350856368, 0.405121248, 0.558419535, 0.468034594, 0.877564863, 0.762082415, 0.469730371, 0.649821943, 0.460742751, 0.445480753, 0.551127692, 0.717144311, 0.156664719, 0.784241716, 0.16367582, 2.151489859, 0.291628412, 0.294967031, 1.877723062, 0.285535431, 0.179617728, 0.19530924, 0.105917703, 0.13705033, 0.149570153, 0.161589183, 0.123946248, 0.176195643, 0.113596528, 0.396461063, 0.295217428, 1.345547116, 1.862782739, 0.133544779, 1.023537267, 0.691595025, 0.219931558, 0, 0.11910525, 0.105917703, 0.114347717, 0.366413488, 0.185627243, 0.156497788, 0, 1.261413905, 0
0.451308901, 0.647748691, 0.37947644, 2.057382199, 3.834764398, 0.29486911, 0.207748691, 3.866806283, 0.222827225, 1.624712042, 0.729424084, 0.353298429, 0.381570681, 0.320209424, 0.735497382, 0.873089005, 1.462408377, 2.261989529, 0.523141361, 0.657591623, 0.466596859, 0.392670157, 0.216335079, 1.094031414, 2.351832461, 1.308481675, 0.269319372, 0.300942408, 0.724188482, 0.192670157, 0.415287958, 1.999162304, 0.369005236, 0.518115183, 0.476439791, 0.815706806, 0.69026178, 0.388900524, 0.658219895, 0.429109948, 0.390366492, 0.492984293, 0.451937173, 0.153828005, 0.712044355, 0.167040226, 2.462309779, 0.278518344, 0.355078448, 1.682670756, 0.331839094, 0.16125988, 0.190633479, 0.115017105, 0.148755456, 0.152530376, 0.170933113, 0.12528017, 0.188274154, 0.105579804, 0.431756518, 0.294915654, 1.44367111, 1.91636192, 0.131768314, 1.213400967, 0.767488498, 0.228736581, 0, 0.119971688, 0.115017105, 0.103456411, 0.411348354, 0.201132476, 0.153238174, 0, 1.392473753, 0
