"TimeDelta", "KeyDelta", "OctaveLow", "OctaveHigh", "VelocityMean", "VelocityVar", "ThirdKey", "PrevKey", "Key", "Eigenote"
0.0, -8, 1, 6, 71.3, 2.72, 4, 4, 8, 4
211.0, 12, 4, 6, 72, 2.1, 4, 8, 8, 4
141.0, -12, 4, 6, 71.4, 2.97, 8, 8, 8, 4
0.0, 8, 5, 6, 72.1, 2.66, 8, 8, 4, 4
0.0, -12, 5, 6, 72, 2.72, 8, 4, 4, 4
56.0, 16, 5, 6, 71.7, 2.76, 4, 4, 8, 4
43.0, -2, 5, 6, 71.9, 2.77, 4, 8, 6, 4
14.0, -22, 5, 6, 71.1, 3.65, 8, 6, 8, 8
14.0, 24, 4, 6, 70.4, 3.88, 6, 8, 8, 8
28.0, -2, 4, 6, 70, 3.58, 8, 8, 6, 8
127.0, -10, 4, 6, 69, 3.71, 8, 6, 8, 8
0.0, -5, 4, 6, 68.1, 3.73, 6, 8, 3, 8
0.0, 13, 4, 6, 68.6, 3.61, 8, 3, 4, 8
56.0, -1, 4, 6, 68.6, 3.61, 3, 4, 3, 8
56.0, 1, 4, 6, 69, 3.95, 4, 3, 4, 8
0.0, -27, 4, 6, 68.6, 4.03, 3, 4, 1, 8
141.0, 24, 4, 6, 68.5, 3.93, 4, 1, 1, 8
0.0, -5, 4, 6, 68.8, 3.68, 1, 1, 8, 8
0.0, -4, 4, 6, 68.9, 3.62, 1, 8, 4, 4
141.0, 12, 4, 6, 69.3, 4.03, 8, 4, 4, 4
127.0, -3, 4, 6, 70, 3.63, 4, 4, 1, 4
0.0, -9, 4, 6, 70.3, 3.23, 4, 1, 4, 4
0.0, 4, 4, 6, 70.3, 3.23, 1, 4, 8, 4
70.0, 8, 4, 6, 69.8, 2.99, 4, 8, 4, 4
42.0, 0, 4, 6, 69.1, 2.74, 8, 4, 4, 4
0.0, -20, 5, 6, 69.4, 2.54, 4, 4, 8, 4
42.0, 19, 4, 6, 69.1, 2.39, 4, 8, 3, 4
141.0, -7, 4, 6, 69, 2.49, 8, 3, 8, 4
0.0, 5, 4, 6, 69.7, 2.79, 3, 8, 1, 4
57.0, -2, 4, 6, 69.5, 2.46, 8, 1, 11, 4
70.0, 2, 4, 6, 69.8, 2.79, 1, 11, 1, 4
127.0, -5, 4, 6, 69.9, 2.7, 11, 1, 8, 8
0.0, -12, 4, 6, 69.4, 3.07, 1, 8, 8, 8
0.0, 8, 4, 6, 69.3, 3.1, 8, 8, 4, 8
56.0, 9, 4, 6, 69.6, 3.01, 8, 4, 1, 8
56.0, -2, 4, 6, 69.8, 3.03, 4, 1, 11, 1
14.0, -17, 4, 6, 69.3, 3.49, 1, 11, 6, 1
57.0, 16, 4, 6, 68.8, 4.21, 11, 6, 10, 1
56.0, -2, 4, 6, 68.3, 3.85, 6, 10, 8, 8
0.0, -10, 4, 6, 67.1, 4.06, 10, 8, 10, 8
0.0, 3, 4, 6, 65.9, 3.59, 8, 10, 1, 8
141.0, 12, 4, 6, 66.4, 4.15, 10, 1, 1, 1
0.0, -24, 4, 6, 64.4, 7.67, 1, 1, 1, 1
141.0, 7, 4, 6, 63.6, 7.67, 1, 1, 8, 1
0.0, 12, 4, 6, 62.9, 7.37, 1, 8, 8, 1
0.0, -4, 4, 6, 62, 6.86, 8, 8, 4, 1
70.0, 9, 4, 6, 61.7, 6.83, 8, 4, 1, 1
70.0, -2, 4, 6, 62.6, 7.26, 4, 1, 11, 1
0.0, -17, 4, 6, 61.1, 7.33, 1, 11, 6, 1
71.0, 16, 4, 6, 61.1, 7.33, 11, 6, 10, 1
98.0, -12, 4, 6, 60.7, 7.38, 6, 10, 10, 1
0.0, 10, 4, 6, 59.4, 6.14, 10, 10, 8, 8
226.0, 5, 4, 6, 62.2, 5.25, 10, 8, 1, 8
14.0, -24, 4, 6, 62.5, 5.2, 8, 1, 1, 1
0.0, 27, 4, 6, 63.4, 5.94, 1, 1, 4, 1
14.0, 4, 4, 6, 64.5, 6.56, 1, 4, 8, 1
141.0, -28, 4, 6, 65.3, 6.57, 4, 8, 4, 1
0.0, -12, 4, 6, 64.5, 6.44, 8, 4, 4, 4
0.0, 28, 3, 6, 66.1, 5.56, 4, 4, 8, 4
0.0, 8, 3, 6, 67.5, 5.85, 4, 8, 4, 4
197.0, -32, 3, 6, 67.6, 5.7, 8, 4, 8, 4
0.0, 24, 3, 6, 68.8, 5.21, 4, 8, 8, 4
0.0, -12, 3, 6, 67.8, 5.27, 8, 8, 8, 8
155.0, 20, 3, 6, 69.1, 5.52, 8, 8, 4, 4
56.0, 4, 3, 6, 68.2, 5.71, 8, 4, 8, 8
70.0, 0, 3, 6, 67.7, 5.48, 4, 8, 8, 8
0.0, -24, 3, 6, 67.2, 5.56, 8, 8, 8, 8
14.0, 22, 3, 6, 67.7, 5.29, 8, 8, 6, 8
85.0, -15, 3, 6, 66.5, 5.95, 8, 6, 3, 8
0.0, 13, 3, 6, 66.5, 5.95, 6, 3, 4, 8
14.0, -17, 4, 6, 66.1, 6.55, 3, 4, 11, 8
42.0, 16, 4, 6, 66.4, 6.87, 4, 11, 3, 8
71.0, -38, 4, 6, 66.8, 6.78, 11, 3, 1, 8
0.0, 39, 3, 6, 66.9, 6.92, 3, 1, 4, 8
126.0, -3, 3, 6, 68.1, 7.18, 1, 4, 1, 1
0.0, -5, 3, 6, 68.1, 7.18, 4, 1, 8, 1
0.0, -16, 3, 6, 68, 7.24, 1, 8, 4, 4
169.0, -8, 3, 6, 66.8, 8.23, 8, 4, 8, 4
0.0, 12, 3, 6, 66.8, 8.23, 4, 8, 8, 4
0.0, 12, 3, 6, 66.2, 7.82, 8, 8, 8, 8
0.0, 8, 3, 6, 67.9, 7.01, 8, 8, 4, 8
169.0, -3, 3, 6, 67.6, 6.76, 8, 4, 1, 8
43.0, 3, 3, 6, 67.2, 6.9, 4, 1, 4, 4
42.0, -1, 3, 6, 67, 6.63, 1, 4, 3, 8
14.0, 1, 3, 6, 66.4, 6.14, 4, 3, 4, 4
0.0, -20, 3, 6, 66.3, 6.12, 3, 4, 8, 4
169.0, 7, 3, 6, 66.1, 6.25, 4, 8, 3, 8
0.0, 5, 4, 6, 67.2, 5.06, 8, 3, 8, 8
14.0, -9, 4, 6, 66.7, 6.08, 3, 8, 11, 4
0.0, 14, 4, 6, 67.1, 6.35, 8, 11, 1, 4
42.0, -2, 4, 6, 66.8, 6.18, 11, 1, 11, 1
71.0, 2, 4, 6, 66.7, 6.1, 1, 11, 1, 1
0.0, -24, 4, 6, 65.6, 7.5, 11, 1, 1, 1
126.0, 7, 4, 6, 64.3, 6.86, 1, 1, 8, 1
0.0, 12, 4, 6, 64.4, 6.93, 1, 8, 8, 8
0.0, -4, 4, 6, 64.7, 7.1, 8, 8, 4, 1
71.0, 9, 4, 6, 65.6, 7.14, 8, 4, 1, 1
56.0, -2, 4, 6, 66.4, 7.58, 4, 1, 11, 1
0.0, -17, 4, 6, 67.4, 6.3, 1, 11, 6, 1
56.0, 16, 4, 6, 66.5, 6.07, 11, 6, 10, 1
57.0, -2, 4, 6, 66.4, 6.04, 6, 10, 8, 1
0.0, -7, 4, 6, 65.2, 6.19, 10, 8, 1, 1
0.0, -3, 4, 6, 66.3, 4.5, 8, 1, 10, 8
126.0, 15, 4, 6, 67.5, 4.78, 1, 10, 1, 1
14.0, -24, 4, 6, 65.3, 7.44, 10, 1, 1, 1
127.0, 19, 4, 6, 65.1, 7.34, 1, 1, 8, 1
0.0, -12, 4, 6, 64.2, 7.24, 1, 8, 8, 1
0.0, 8, 4, 6, 63.6, 6.62, 8, 8, 4, 1
56.0, 9, 4, 6, 64.6, 7.19, 8, 4, 1, 1
71.0, -2, 4, 6, 65.3, 7.43, 4, 1, 11, 1
56.0, -1, 4, 6, 64.6, 7.47, 1, 11, 10, 1
71.0, -9, 4, 6, 64.9, 7.3, 11, 10, 1, 1
0.0, 7, 4, 6, 65.8, 7.56, 10, 1, 8, 1
14.0, -10, 4, 6, 64.4, 7.2, 1, 8, 10, 1
84.0, 13, 4, 6, 66.8, 5, 8, 10, 11, 8
14.0, 5, 4, 6, 67.5, 5.57, 10, 11, 4, 1
0.0, -36, 4, 6, 68, 5.18, 11, 4, 4, 4
14.0, 12, 3, 6, 68.1, 5.19, 4, 4, 4, 4
127.0, 24, 3, 6, 68.3, 5.4, 4, 4, 4, 4
0.0, -20, 3, 6, 67.6, 5.46, 4, 4, 8, 4
0.0, 12, 3, 6, 68.9, 5.28, 4, 8, 8, 4
127.0, -21, 3, 6, 68.9, 5.28, 8, 8, 11, 4
0.0, 33, 3, 6, 69.1, 5.43, 8, 11, 8, 4
0.0, -12, 3, 6, 70.6, 4.74, 11, 8, 8, 4
141.0, 8, 3, 6, 70.8, 4.83, 8, 8, 4, 4
0.0, -8, 3, 6, 70.5, 4.65, 8, 4, 8, 8
42.0, 12, 3, 6, 71.1, 4.41, 4, 8, 8, 8
56.0, -2, 3, 6, 71.2, 4.38, 8, 8, 6, 8
14.0, 2, 3, 6, 71, 4.24, 8, 6, 8, 8
42.0, -2, 3, 6, 71.8, 3.54, 6, 8, 6, 8
57.0, -2, 3, 6, 71.9, 3.62, 8, 6, 4, 8
0.0, -28, 5, 6, 72.2, 2.82, 6, 4, 0, 8
0.0, 12, 4, 6, 72, 2.76, 4, 0, 0, 8
56.0, 15, 4, 6, 71.9, 2.66, 0, 0, 3, 8
56.0, -14, 4, 6, 71.2, 2.93, 0, 3, 1, 8
0.0, -12, 4, 6, 70.2, 3.99, 3, 1, 1, 0
0.0, 27, 4, 6, 70.5, 4.22, 1, 1, 4, 0
127.0, -3, 4, 6, 70.8, 4.28, 1, 4, 1, 1
14.0, -5, 4, 6, 70.8, 4.28, 4, 1, 8, 1
0.0, -4, 4, 6, 70, 4.71, 1, 8, 4, 1
127.0, 12, 4, 6, 70.3, 5.1, 8, 4, 4, 1
98.0, -8, 4, 6, 71.2, 4.87, 4, 4, 8, 1
15.0, 5, 4, 6, 71.2, 4.87, 4, 8, 1, 1
0.0, -9, 4, 6, 71.1, 4.83, 8, 1, 4, 1
98.0, 12, 4, 6, 71.8, 4.69, 1, 4, 4, 4
0.0, -20, 5, 6, 72.4, 3.67, 4, 4, 8, 4
127.0, 7, 4, 6, 71, 4.88, 4, 8, 3, 4
0.0, 5, 4, 6, 70.6, 4.86, 8, 3, 8, 4
0.0, 5, 4, 6, 70.6, 4.86, 3, 8, 1, 4
56.0, -2, 4, 6, 71.1, 4.39, 8, 1, 11, 4
56.0, -26, 4, 6, 69.2, 5.06, 1, 11, 9, 8
0.0, 28, 3, 6, 69, 4.9, 11, 9, 1, 1
113.0, -4, 3, 6, 68.9, 4.85, 9, 1, 9, 1
0.0, -12, 3, 6, 68.4, 4.65, 1, 9, 9, 9
0.0, 7, 3, 6, 68.7, 5.08, 9, 9, 4, 9
56.0, 9, 3, 6, 68.7, 5.08, 9, 4, 1, 1
43.0, -2, 3, 6, 70, 4.58, 4, 1, 11, 1
0.0, -31, 3, 6, 69.1, 5.49, 1, 11, 4, 1
70.0, 29, 3, 6, 69.5, 5.89, 11, 4, 9, 9
42.0, -1, 3, 6, 70.3, 6.29, 4, 9, 8, 9
0.0, -16, 3, 6, 71.1, 5.22, 9, 8, 4, 4
113.0, -10, 3, 6, 70.2, 5.74, 8, 4, 6, 4
0.0, 24, 3, 6, 70.6, 5.92, 4, 6, 6, 4
127.0, -9, 3, 6, 70.7, 5.88, 6, 6, 9, 4
14.0, 12, 3, 6, 70.6, 5.78, 6, 9, 9, 9
0.0, -15, 3, 5, 71, 5.73, 9, 9, 6, 6
56.0, 12, 3, 5, 70.7, 5.64, 9, 6, 6, 6
42.0, -2, 3, 5, 72.6, 4.86, 6, 6, 4, 6
0.0, -27, 3, 5, 71.7, 4.8, 6, 4, 1, 6
113.0, 36, 3, 6, 71.3, 4.5, 4, 1, 1, 6
14.0, -12, 3, 6, 72, 4.31, 1, 1, 1, 6
42.0, 3, 3, 6, 72.8, 3.16, 1, 1, 4, 1
57.0, 2, 3, 6, 72.9, 3.24, 1, 4, 6, 1
0.0, -24, 3, 6, 72.4, 4.08, 4, 6, 6, 6
112.0, 12, 3, 6, 71.9, 3.91, 6, 6, 6, 6
0.0, 15, 3, 6, 72.1, 3.96, 6, 6, 9, 6
0.0, -12, 3, 6, 72, 4, 6, 9, 9, 1
57.0, 9, 3, 6, 71.2, 3.25, 9, 9, 6, 6
56.0, -29, 3, 6, 70.7, 4, 9, 6, 1, 6
0.0, 27, 3, 5, 71.5, 5.04, 6, 1, 4, 6
141.0, -12, 3, 5, 71, 5.02, 1, 4, 4, 6
0.0, 21, 3, 6, 71.3, 5.1, 4, 4, 1, 6
0.0, -24, 3, 6, 70.1, 5.26, 4, 1, 1, 1
0.0, 12, 3, 6, 70.8, 4.85, 1, 1, 1, 1
56.0, 3, 3, 6, 70.9, 4.87, 1, 1, 4, 1
56.0, -22, 3, 6, 69.8, 5.27, 1, 4, 6, 1
0.0, 24, 3, 6, 70.2, 5.42, 4, 6, 6, 1
57.0, 3, 3, 6, 70.6, 5.61, 6, 6, 9, 1
42.0, -12, 3, 6, 71.4, 5, 6, 9, 9, 1
0.0, -3, 3, 6, 70.4, 3.85, 9, 9, 6, 1
14.0, 12, 3, 6, 70.8, 3.89, 9, 6, 6, 6
56.0, -2, 3, 5, 71.3, 4.54, 6, 6, 4, 6
57.0, -27, 3, 5, 70.9, 5.28, 6, 4, 1, 6
0.0, 24, 3, 5, 70.9, 5.28, 4, 1, 1, 6
0.0, 12, 3, 6, 71.1, 5.36, 1, 1, 1, 6
56.0, -9, 3, 6, 72.4, 4.78, 1, 1, 4, 1
42.0, 2, 3, 6, 72.5, 4.82, 1, 4, 6, 1
14.0, -14, 3, 6, 71.6, 5.1, 4, 6, 4, 1
57.0, 17, 3, 6, 72.1, 5.26, 6, 4, 9, 1
56.0, -3, 3, 6, 72.4, 5.28, 4, 9, 6, 1
14.0, -28, 3, 6, 71.5, 5.84, 9, 6, 2, 1
56.0, 26, 3, 6, 71.6, 5.97, 6, 2, 4, 1
71.0, -14, 3, 6, 72.4, 4.78, 2, 4, 2, 4
0.0, 11, 3, 6, 72.6, 4.76, 4, 2, 1, 4
84.0, 3, 3, 5, 73.1, 5.13, 2, 1, 4, 4
155.0, -3, 3, 5, 72.7, 5.04, 1, 4, 1, 4
0.0, -16, 3, 5, 71.3, 6.05, 4, 1, 9, 4
155.0, 28, 3, 6, 72.4, 5.99, 1, 9, 1, 1
14.0, -21, 3, 6, 71.6, 5.99, 9, 1, 4, 1
0.0, 5, 3, 6, 71.2, 5.95, 1, 4, 9, 1
169.0, 4, 3, 6, 71.7, 5.51, 4, 9, 1, 1
0.0, -16, 3, 6, 69.3, 6.51, 9, 1, 9, 1
0.0, 28, 3, 6, 69.7, 6.54, 1, 9, 1, 1
127.0, -16, 3, 6, 69.3, 6.45, 9, 1, 9, 1
0.0, 7, 3, 6, 68.2, 5.58, 1, 9, 4, 1
0.0, -12, 3, 6, 67.5, 5.5, 9, 4, 4, 9
0.0, 21, 3, 6, 69.1, 5.7, 4, 4, 1, 1
169.0, -11, 3, 6, 67.9, 5.15, 4, 1, 2, 1
0.0, -9, 3, 6, 67.3, 5.44, 1, 2, 5, 1
0.0, 18, 3, 6, 68, 6.15, 2, 5, 11, 1
0.0, -12, 3, 6, 67.3, 6.39, 5, 11, 11, 1
56.0, 10, 4, 6, 68.9, 5.26, 11, 11, 9, 1
70.0, -1, 4, 6, 69, 5.33, 11, 9, 8, 4
113.0, -7, 4, 6, 69.2, 5.36, 9, 8, 1, 1
0.0, 12, 4, 6, 69.8, 5.53, 8, 1, 1, 1
14.0, -28, 4, 6, 69, 6.63, 1, 1, 9, 1
99.0, 28, 3, 6, 69, 6.63, 1, 9, 1, 1
14.0, -16, 3, 6, 69.6, 6.51, 9, 1, 9, 1
141.0, -4, 3, 6, 69.6, 6.51, 1, 9, 5, 1
0.0, 9, 3, 6, 69, 6.07, 9, 5, 2, 1
0.0, 9, 3, 6, 70.3, 5.81, 5, 2, 11, 1
14.0, -12, 3, 6, 69.2, 6.4, 2, 11, 11, 1
42.0, 10, 3, 6, 69.2, 6.4, 11, 11, 9, 1
70.0, -1, 3, 6, 69.6, 6.62, 11, 9, 8, 9
127.0, -2, 3, 6, 69.9, 6.88, 9, 8, 6, 9
99.0, -12, 4, 6, 71.7, 5.48, 8, 6, 6, 6
0.0, -12, 4, 5, 71, 5.2, 6, 6, 6, 6
154.0, 21, 3, 5, 70.7, 5.27, 6, 6, 3, 6
14.0, -9, 3, 5, 71.1, 4.72, 6, 3, 6, 6
0.0, 22, 3, 6, 71.4, 4.8, 3, 6, 4, 6
57.0, -1, 3, 6, 71.2, 4.69, 6, 4, 3, 6
56.0, -14, 3, 6, 72.2, 3.25, 4, 3, 1, 6
0.0, 12, 3, 6, 72.8, 3.84, 3, 1, 1, 6
113.0, -31, 3, 6, 71.9, 4.25, 1, 1, 6, 6
0.0, 24, 3, 6, 71.2, 3.92, 1, 6, 6, 6
0.0, -12, 3, 6, 70.3, 3.98, 6, 6, 6, 6
126.0, 24, 3, 6, 70.9, 4.32, 6, 6, 6, 6
0.0, -24, 3, 6, 71.3, 4.22, 6, 6, 6, 6
0.0, 9, 3, 6, 71.9, 3.83, 6, 6, 3, 6
113.0, 13, 3, 6, 72.1, 3.99, 6, 3, 4, 6
14.0, -13, 3, 6, 71.3, 4.5, 3, 4, 3, 6
0.0, -9, 3, 6, 71, 4.6, 4, 3, 6, 6
42.0, 21, 3, 6, 70.4, 3.85, 3, 6, 3, 6
71.0, -15, 4, 6, 71, 3.58, 6, 3, 0, 6
0.0, 13, 4, 6, 71.5, 3.75, 3, 0, 1, 6
0.0, -9, 4, 6, 72.2, 3.28, 0, 1, 4, 3
70.0, 12, 4, 6, 71.5, 3.14, 1, 4, 4, 3
42.0, -39, 4, 6, 71.3, 3.16, 4, 4, 1, 3
15.0, 12, 3, 6, 71, 3.22, 4, 1, 1, 1
112.0, 27, 3, 6, 70.9, 3.08, 1, 1, 4, 1
0.0, -27, 3, 6, 71.4, 2.42, 1, 4, 1, 1
14.0, 12, 3, 6, 72, 2.24, 4, 1, 1, 1
0.0, 7, 3, 6, 72.1, 2.3, 1, 1, 8, 1
155.0, 5, 3, 6, 72, 2.32, 1, 8, 1, 1
0.0, -5, 3, 6, 71.9, 2.21, 8, 1, 8, 1
0.0, 12, 3, 6, 72.1, 2.39, 1, 8, 8, 1
0.0, -4, 3, 6, 72.1, 2.39, 8, 8, 4, 1
14.0, -15, 4, 6, 71.3, 3.85, 8, 4, 1, 1
0.0, 3, 4, 6, 70.8, 4.4, 4, 1, 4, 1
113.0, 12, 4, 6, 70.8, 4.4, 1, 4, 4, 1
56.0, 4, 5, 6, 70.1, 4.99, 4, 4, 8, 8
42.0, -2, 5, 6, 69.8, 4.83, 4, 8, 6, 8
29.0, -22, 5, 6, 68.8, 4.89, 8, 6, 8, 8
0.0, 24, 4, 6, 68.8, 4.89, 6, 8, 8, 8
42.0, -2, 4, 6, 68.5, 4.65, 8, 8, 6, 8
