"TimeDelta", "KeyDelta", "OctaveLow", "OctaveHigh", "VelocityMean", "VelocityVar", "ThirdKey", "PrevKey", "Key", "Eigenote"
127.0, -1, 3, 6, 49.7, 10.84, 1, 9, 8, 8
14.0, -16, 3, 6, 49.1, 11.03, 9, 8, 4, 8
0.0, -8, 4, 6, 49.5, 10.73, 8, 4, 8, 8
0.0, 5, 4, 6, 50.6, 9.58, 4, 8, 1, 8
113.0, 17, 4, 6, 51.3, 10.05, 8, 1, 6, 8
141.0, -4, 4, 6, 50.5, 9.47, 1, 6, 2, 8
0.0, -27, 4, 6, 50.4, 9.5, 6, 2, 11, 8
155.0, 7, 3, 6, 50.5, 9.38, 2, 11, 6, 1
197.0, 8, 3, 6, 50.9, 9.09, 11, 6, 2, 2
14.0, 7, 3, 6, 48.5, 8.18, 6, 2, 9, 2
0.0, -8, 3, 6, 46.4, 6.1, 2, 9, 1, 1
394.0, -2, 3, 6, 46.1, 6.33, 9, 1, 11, 1
422.0, 15, 3, 6, 47, 6.47, 1, 11, 2, 2
0.0, -34, 3, 6, 46.7, 6.62, 11, 2, 4, 2
212.0, 7, 3, 6, 44.9, 4.64, 2, 4, 11, 2
14.0, 31, 3, 6, 45.5, 5.97, 4, 11, 6, 11
155.0, 2, 3, 6, 47.4, 8.59, 11, 6, 8, 2
14.0, -18, 3, 6, 48.5, 8.27, 6, 8, 2, 2
14.0, -5, 3, 6, 48.3, 8.36, 8, 2, 9, 2
98.0, 24, 3, 6, 50.8, 9.46, 2, 9, 9, 2
113.0, -1, 3, 6, 52.8, 9.92, 9, 9, 8, 2
14.0, -7, 3, 6, 54.6, 9.02, 9, 8, 1, 2
0.0, -17, 3, 6, 54, 9.37, 8, 1, 8, 8
0.0, 6, 3, 6, 55.1, 8.5, 1, 8, 2, 8
113.0, 16, 4, 6, 56.6, 7.5, 8, 2, 6, 8
14.0, -26, 4, 6, 55.3, 7.91, 2, 6, 4, 8
141.0, 21, 4, 6, 54.5, 7.16, 6, 4, 1, 1
14.0, -28, 4, 6, 53.6, 8.05, 4, 1, 9, 9
0.0, 12, 3, 6, 53.2, 8.6, 1, 9, 9, 9
126.0, -5, 3, 6, 50.6, 8.26, 9, 9, 4, 1
183.0, 16, 3, 6, 48.9, 6.98, 9, 4, 8, 1
0.0, -9, 3, 6, 47.7, 6.31, 4, 8, 11, 4
14.0, 2, 3, 6, 47.2, 6.62, 8, 11, 1, 1
352.0, 5, 3, 6, 46, 6.54, 11, 1, 6, 1
409.0, -21, 3, 6, 44.8, 5.19, 1, 6, 9, 9
0.0, 12, 3, 6, 44.1, 5.32, 6, 9, 9, 9
0.0, 16, 3, 6, 43.4, 3.64, 9, 9, 1, 9
197.0, 5, 3, 6, 45, 5.64, 9, 1, 6, 9
169.0, 2, 3, 6, 47.3, 7.51, 1, 6, 8, 1
0.0, -19, 3, 6, 48.2, 7.11, 6, 8, 1, 1
14.0, -5, 3, 6, 47.6, 7.43, 8, 1, 8, 1
0.0, 17, 3, 6, 48.8, 8.02, 1, 8, 1, 1
0.0, -9, 3, 6, 49.3, 7.67, 8, 1, 4, 1
113.0, 17, 3, 6, 51.8, 8.58, 1, 4, 9, 1
98.0, -1, 4, 6, 53.7, 9.17, 4, 9, 8, 1
14.0, -7, 4, 6, 55.5, 7.99, 9, 8, 1, 1
0.0, -9, 4, 6, 55, 8.4, 8, 1, 4, 1
113.0, 14, 4, 6, 55.5, 8.71, 1, 4, 6, 1
155.0, -31, 4, 6, 54.2, 8.46, 4, 6, 11, 1
0.0, 27, 3, 6, 54.6, 8.3, 6, 11, 2, 1
112.0, -12, 3, 6, 55.6, 7.12, 11, 2, 2, 1
99.0, 4, 3, 6, 54.2, 7.85, 2, 2, 6, 2
84.0, -12, 3, 6, 53.9, 8.2, 2, 6, 6, 6
0.0, 16, 3, 6, 52.6, 7.14, 6, 6, 10, 6
85.0, -8, 3, 6, 51.2, 5.83, 6, 10, 2, 2
84.0, 4, 3, 6, 50.3, 5.39, 10, 2, 6, 6
99.0, 3, 3, 6, 51, 5.23, 2, 6, 9, 6
0.0, -12, 3, 6, 49.5, 3.41, 6, 9, 9, 2
84.0, 5, 4, 6, 49.5, 3.41, 9, 9, 2, 2
99.0, 4, 4, 5, 49, 3.22, 9, 2, 6, 6
155.0, 17, 4, 6, 50.2, 5.31, 2, 6, 11, 6
0.0, -43, 4, 6, 50.5, 5.02, 6, 11, 4, 6
14.0, 38, 3, 6, 51.3, 4.36, 11, 4, 6, 6
0.0, -4, 3, 6, 50.8, 4.42, 4, 6, 2, 2
113.0, 7, 3, 6, 52, 5.74, 6, 2, 9, 6
14.0, -12, 3, 6, 52.7, 5.76, 2, 9, 9, 9
0.0, -22, 3, 6, 51.4, 6.9, 9, 9, 11, 9
112.0, 33, 3, 6, 53.3, 8.2, 9, 11, 8, 2
0.0, -12, 3, 6, 54.8, 8.81, 11, 8, 8, 6
14.0, -6, 3, 6, 55.4, 8.52, 8, 8, 2, 2
0.0, -5, 3, 6, 54.6, 8.14, 8, 2, 9, 9
85.0, 24, 3, 6, 56.6, 8.48, 2, 9, 9, 9
14.0, -12, 3, 6, 57.7, 8.39, 9, 9, 9, 9
99.0, -13, 3, 6, 58.2, 7.93, 9, 9, 8, 9
0.0, 12, 3, 6, 58.2, 7.93, 9, 8, 8, 8
0.0, -6, 3, 6, 58, 8.01, 8, 8, 2, 8
112.0, 4, 4, 6, 60, 5.31, 8, 2, 6, 8
0.0, 12, 4, 6, 59.4, 4.8, 2, 6, 6, 8
141.0, -5, 4, 6, 58.8, 4.42, 6, 6, 1, 9
0.0, -12, 4, 6, 58.5, 4.82, 6, 1, 1, 9
14.0, -4, 4, 6, 57.5, 6.26, 1, 1, 9, 9
14.0, -12, 4, 6, 55.4, 6.25, 1, 9, 9, 9
127.0, 7, 3, 6, 53.3, 7.14, 9, 9, 4, 1
155.0, 16, 3, 6, 52.5, 7.57, 9, 4, 8, 1
0.0, -9, 3, 6, 50.4, 7.27, 4, 8, 11, 1
14.0, 2, 3, 6, 49.1, 7.66, 8, 11, 1, 1
338.0, 0, 3, 6, 47.2, 7.05, 11, 1, 1, 1
0.0, -2, 3, 6, 45.1, 5.61, 1, 1, 11, 1
14.0, 7, 3, 5, 43.1, 3.45, 1, 11, 6, 1
155.0, -14, 3, 5, 41.8, 2.56, 11, 6, 4, 1
169.0, 21, 3, 6, 42.8, 4.69, 6, 4, 1, 1
0.0, -28, 4, 6, 42.7, 4.63, 4, 1, 9, 1
0.0, 40, 3, 7, 44.3, 6.25, 1, 9, 1, 1
169.0, 5, 3, 7, 45.9, 8.02, 9, 1, 6, 1
14.0, -12, 3, 7, 46.9, 8.09, 1, 6, 6, 1
126.0, 14, 3, 7, 48.8, 8.69, 6, 6, 8, 1
0.0, -28, 3, 7, 49.1, 8.47, 6, 8, 4, 6
0.0, 16, 3, 7, 50.9, 8.25, 8, 4, 8, 6
14.0, -19, 3, 7, 51.2, 7.86, 4, 8, 1, 1
0.0, -5, 3, 7, 51.4, 7.54, 8, 1, 8, 1
99.0, 37, 3, 7, 52.3, 8.4, 1, 8, 9, 8
14.0, -12, 4, 7, 53.5, 8.13, 8, 9, 9, 8
113.0, -25, 4, 7, 52.3, 8.4, 9, 9, 8, 8
0.0, 36, 4, 7, 52.6, 8.75, 9, 8, 8, 8
0.0, -12, 4, 7, 53.5, 9.1, 8, 8, 8, 8
14.0, -19, 4, 7, 52, 9.14, 8, 8, 1, 8
84.0, 29, 4, 7, 53.8, 9.16, 8, 1, 6, 8
14.0, -12, 4, 7, 53.9, 9.21, 1, 6, 6, 8
141.0, -31, 4, 7, 55, 8.34, 6, 6, 11, 8
0.0, 39, 3, 7, 57.4, 7.03, 6, 11, 2, 8
141.0, -32, 3, 7, 55.2, 8, 11, 2, 6, 6
169.0, 8, 3, 7, 54.7, 8.03, 2, 6, 2, 6
0.0, 20, 3, 7, 55.7, 7.35, 6, 2, 10, 6
0.0, -4, 3, 7, 54.5, 6.86, 2, 10, 6, 6
0.0, -20, 3, 7, 53.3, 6.66, 10, 6, 10, 6
338.0, -1, 3, 7, 53.4, 6.55, 6, 10, 9, 6
0.0, 5, 3, 7, 51.9, 6.11, 10, 9, 2, 2
352.0, -22, 3, 7, 51.1, 5.63, 9, 2, 4, 2
0.0, 34, 3, 7, 51.3, 5.73, 2, 4, 2, 2
0.0, 12, 3, 7, 51.2, 5.51, 4, 2, 2, 2
169.0, -8, 3, 7, 53.2, 5.44, 2, 2, 6, 2
0.0, 12, 3, 7, 54.5, 6.45, 2, 6, 6, 2
141.0, -10, 3, 7, 55.7, 7.47, 6, 6, 8, 2
0.0, -23, 3, 7, 55.6, 7.53, 6, 8, 9, 2
0.0, 5, 3, 7, 55.6, 7.53, 8, 9, 2, 2
0.0, 30, 3, 7, 57.6, 7.36, 9, 2, 8, 2
14.0, -28, 3, 7, 57.6, 7.36, 2, 8, 4, 2
84.0, 29, 4, 7, 59.3, 7.6, 8, 4, 9, 2
