DayOfWeek; HourOfDay; Event_cat; Company_cat; UserID_cat; MaterialName_cat; DeliveryStatus
5; 7; Delivery change: volume; DE13; PORFCUSER; ZEWA Deluxe 7/8-R 135SH 4-Ply Std PEFC; 1
5; 20; Shipping change: name carrier; FR01; PORFCUSER; MIMOSA BRT 7/6R 5P White PEFC EU; 1
1; 13; Shipping change: name carrier; FR01; PORFCUSER; MIMOSA TP126/12-R 2-P Wht PEFC EU Flower; 1
4; 11; Delivery change: volume; DE13; PORFCUSER; KOKETT Sued TP 126/10-R 160SH 4-Ply PEFC; 1
5; 10; Sales Doc. change: stat.req.date; FR01; FRHSOJO; LOTUS Xxl BRT 7/6-R 2Ply White; 1
4; 17; Delivery change: stat. goods mov. date; DE27; PORFCUSER; Tork Floor Stand; 1
4; 11; Shipment; FR01; PORFCUSER; TENA Flex Plus Medium 3x30p, INT; 1
5; 8; Delivery change: billing date; FR01; PORFCUSER; LOTUS Sensitive 15/110 FP 4ply White FSC; 1
1; 15; Shipment; FR01; FRHSAAT; LOTUS Moltonel TP 3/12-R 3 ply Y. Peach; 1
3; 16; Shipping change: date ship. compl.; FR01; PORFCUSER; LOTUS Moltonel 92/9-R 3 ply Pk/Wht; 1
1; 15; Shipping change: name carrier; FR01; PORFCUSER; CARREFOUR Facial 27/110 3-ply  White; 1
1; 16; Delivery change: billing date; FR01; PORFCUSER; NANA Ultra Normal ew 18x16pcs+sticker; 1
3; 0; Invoice; FR01; HYB_BATCHMAN; ECO+ HHT Compact 105/3 R 2Ply White; 1
3; 11; Order; FR01; HYB_BATCHMAN; MIMOSA TP 84/12-R  WHT Max PEFC EU Flowe; 1
5; 18; Shipping change: name carrier; FR01; PORFCUSER; SYSTEME U BRT 7/6-R 2P Maxi FSC EU; 1
1; 15; Delivery change: goods movement date; DE27; PORFCUSER; Tork Low-Lint Cleaning Cloth W1,W2,W3; 1
3; 14; Delivery; FR01; FRHJEBU; LOTUS Baby Touch 4+ (mx+) 6x36p, FSC Pr; 1
1; 9; Order; FR01; PORFCUSER; SYSTeME U BRT 16/6-R 3-ply decore FSC EU; 1
1; 9; Order; FR01; FRHZCHS; TENA Slip Plus Large 3x30p, INT/IT; 1
1; 2; Delivery change: billing date; DE27; PORFCUSER; Tork Conv TR Prem 3p 250s; 1
